time(ms)	OriginalData	FilteredData
6993.8	0.0885161	1.3678
6994.8	0.364926	1.41766
6995.8	0.702597	1.44153
6996.8	-0.636315	1.41211
6997.8	-1.95108	1.36688
6998.8	0.131956	1.35907
6999.8	0.25153	1.27455
7000.8	-2.35116	1.29154
7001.8	-3.18355	1.29042
7002.8	2.5648	1.25743
7003.8	-1.21156	1.17415
7004.8	-0.737314	1.12751
7005.83	0.968152	1.20427
7006.79	-2.01624	1.17395
7007.79	1.19828	1.14111
7008.79	2.00646	1.16518
7009.8	-0.272375	1.07107
7010.79	2.83004	1.04688
7011.8	1.81904	1.0824
7012.8	-0.113632	1.07845
7013.79	4.01906	1.12458
7014.79	1.50895	1.12857
7015.79	-0.0926828	1.0603
7016.8	-2.28468	0.942965
7017.79	3.65662	0.986884
7018.84	-0.186566	0.893752
7019.8	0.369056	0.811231
7020.8	-2.08104	0.827527
7021.8	-0.0690846	0.807016
7022.8	-3.82489	0.72212
7023.8	-2.99194	0.661372
7024.8	-0.205573	0.714302
7025.8	0.829765	0.669464
7026.8	0.993002	0.662252
7027.8	3.53741	0.685767
7028.8	-0.528493	0.615398
7029.84	-1.84627	0.50341
7030.8	-1.70917	0.390217
7031.82	1.60796	0.425453
7032.8	-1.1708	0.440133
7033.8	-2.22881	0.344015
7034.8	3.95291	0.351804
7035.8	-0.896964	0.249993
7036.8	3.61283	0.359814
7037.8	2.26331	0.317963
7038.8	2.78665	0.325674
7039.8	-4.05277	0.187722
7040.8	3.00495	0.276905
7041.8	1.20988	0.275926
7042.8	-1.33522	0.16601
7043.8	2.68287	0.217897
7044.8	-1.09931	0.188612
7045.84	-3.63316	0.101897
7046.8	-0.00422438	0.114539
7047.8	-2.94237	0.0947126
7048.8	-2.86455	0.0347824
7049.8	-3.01598	-0.0305679
7050.81	-1.23009	-0.00814636
7051.8	-4.11425	-0.0267603
7052.8	-3.08569	-0.13977
7053.8	-3.48856	-0.18531
7054.81	-2.56325	-0.221829
7055.8	-0.583943	-0.252871
7056.81	2.69693	-0.158608
7057.81	1.94961	-0.143581
7058.84	-2.14082	-0.226527
7059.8	1.47139	-0.191651
7060.81	-1.21613	-0.272575
7061.8	-0.912344	-0.327202
7062.94	-1.40569	-0.353044
7064	-1.39802	-0.461385
7064.86	-1.14302	-0.514425
7065.84	-3.11561	-0.574883
7066.81	2.75556	-0.474078
7067.81	-0.495846	-0.557128
7068.81	-1.27743	-0.578945
7069.81	2.23776	-0.541571
7070.8	2.69941	-0.445962
7071.83	-0.0455693	-0.445492
7072.84	0.507671	-0.358841
7073.81	-3.60401	-0.371082
7074.81	-0.206403	-0.371098
7075.8	-3.48965	-0.457487
7076.81	0.558409	-0.466178
7077.81	-3.73947	-0.611716
7078.81	1.51105	-0.570925
7079.8	-3.77363	-0.609472
7080.81	-2.70507	-0.629391
7081.81	-0.17307	-0.665011
7082.81	-1.89728	-0.679541
7083.81	-0.36501	-0.642265
7084.81	-0.735611	-0.736035
7085.84	3.01918	-0.657712
7086.81	-2.9011	-0.787991
7087.8	2.24319	-0.788393
7088.81	1.65199	-0.811086
7089.81	-0.838425	-0.746799
7090.8	-2.11222	-0.849143
7091.81	-0.20327	-0.877405
7092.81	-0.509449	-0.86089
7093.81	-3.65455	-0.987639
7094.81	0.622961	-0.953193
7095.81	2.55717	-0.829386
7096.81	-2.17163	-0.872735
7097.89	-4.06805	-0.895248
7098.81	-4.29104	-0.923778
7099.81	-4.15437	-0.946546
7100.81	-0.905266	-0.940049
7101.81	-0.551241	-0.868789
7102.81	-3.88504	-0.884776
7103.8	-3.89595	-0.892924
7104.81	-0.0768752	-0.843196
7105.81	3.12478	-0.769022
7106.81	2.76557	-0.767649
7107.81	-4.28155	-0.892272
7108.81	1.67421	-0.815971
7109.8	-0.681295	-0.859025
7110.81	-2.73963	-0.889495
7111.82	1.86072	-0.834034
7112.85	2.91461	-0.747628
7113.81	0.085854	-0.717951
7114.81	-3.82615	-0.771613
7115.81	2.59496	-0.657402
7116.81	2.09671	-0.670579
7117.81	-1.86498	-0.697961
7118.81	-2.82093	-0.728831
7119.81	1.49945	-0.743597
7120.8	2.69257	-0.743734
7121.81	0.428846	-0.734245
7122.81	-4.74753	-0.839349
7123.81	2.05429	-0.726183
7124.82	1.03145	-0.701427
7125.84	1.67154	-0.598203
7126.81	-4.79327	-0.705236
7127.81	-4.95512	-0.729549
7128.81	-2.91129	-0.817996
7129.81	0.939771	-0.723728
7130.81	-1.19979	-0.693622
7131.81	-1.76894	-0.72554
7132.81	0.480888	-0.677977
7133.81	0.702623	-0.656624
7134.81	-3.32377	-0.708387
7135.81	1.5315	-0.738141
7136.81	-0.0906781	-0.681932
7137.83	-4.51685	-0.817133
7138.85	-0.621181	-0.862597
7139.81	-5.02748	-0.946378
7140.81	-3.68819	-0.977897
7141.81	1.41054	-0.945621
7142.81	1.69838	-0.901464
7143.81	-3.34275	-0.895228
7144.81	-4.03555	-0.988398
7145.81	-2.08955	-1.08133
7146.81	2.59414	-0.986017
7147.82	1.99378	-0.86478
7148.95	-0.21327	-0.783225
7150.02	0.458386	-0.69097
7150.88	-1.39029	-0.700671
7151.87	-4.89374	-0.787521
7152.85	-3.23827	-0.774585
7153.84	1.62146	-0.664237
7154.81	-4.96733	-0.762046
7155.81	1.68776	-0.790786
7156.82	-0.254021	-0.851178
7157.82	-5.29251	-0.871398
7158.82	-3.92815	-0.983445
7159.82	-0.468435	-0.979187
7160.82	-1.12426	-0.94688
7161.82	-2.1787	-1.02767
7162.82	-1.09776	-1.10792
7163.82	-1.35126	-1.13666
7164.82	-4.48465	-1.14983
7165.82	-3.31365	-1.268
7166.81	0.903667	-1.29186
7167.82	-4.75351	-1.34963
7168.82	-0.00161309	-1.29325
7169.82	-0.568404	-1.3346
7170.82	0.302423	-1.38241
7171.85	-5.19381	-1.49486
7172.81	-0.598357	-1.41188
7173.82	-1.732	-1.4876
7174.81	-3.85877	-1.58541
7175.81	-2.82716	-1.67538
7176.82	-0.727326	-1.59406
7177.85	-2.6937	-1.54883
7178.86	-2.17286	-1.53406
7179.82	0.911122	-1.53464
7180.81	-0.43879	-1.51942
7181.82	-2.23566	-1.52875
7182.82	-5.49343	-1.64824
7183.82	0.178351	-1.65872
7184.82	1.00216	-1.5722
7185.82	-4.18365	-1.68651
7186.81	-1.47901	-1.71427
7187.81	-0.637864	-1.63669
7188.81	-1.79719	-1.66021
7189.82	-3.66788	-1.63302
7190.82	1.18706	-1.53552
7191.81	-5.26711	-1.66907
7192.82	-0.317031	-1.70938
7193.82	1.75633	-1.6074
7194.82	-4.8409	-1.6235
7195.82	-3.63556	-1.65442
7196.82	-0.88224	-1.72395
7197.81	-4.62122	-1.85625
7198.82	-2.38362	-1.89966
7199.82	-0.433533	-1.9175
7200.82	-5.96553	-2.009
7201.82	-1.75202	-1.94617
7202.82	-3.47001	-1.9508
7203.82	-4.91446	-2.08152
7204.82	0.21193	-1.97794
7205.86	-5.03081	-2.11231
7206.82	-5.74256	-2.22208
7207.83	-0.677674	-2.12978
7208.81	-1.96812	-2.09058
7209.82	-0.349706	-2.08821
7210.82	-1.28401	-2.0914
7211.82	-6.18954	-2.17162
7212.82	-0.96357	-2.16893
7213.82	1.23188	-2.11727
7214.82	0.382648	-2.01993
7215.81	-4.78401	-2.04933
7216.82	0.935499	-2.0487
7217.82	-4.53714	-2.04437
7218.86	1.37445	-2.01685
7219.82	1.09893	-1.9835
7220.82	-4.68107	-2.08317
7221.82	-5.23596	-2.08401
7222.82	-1.14535	-2.09495
7223.83	0.69113	-2.04649
7224.81	-3.67708	-2.04286
7225.82	-0.766653	-2.00165
7226.82	-2.98105	-2.04672
7227.82	-4.05908	-2.07403
7228.83	-1.50386	-2.06065
7229.82	-3.95968	-2.15807
7230.82	-2.09155	-2.19112
7231.84	-1.9265	-2.18494
7232.83	0.121754	-2.07263
7233.82	-5.53643	-2.18693
7234.82	-2.6989	-2.26095
7235.82	0.914137	-2.15899
7236.83	0.242715	-2.12456
7237.82	-4.18337	-2.19547
7238.83	-0.0675886	-2.16088
7239.83	0.230541	-2.08291
7240.98	-6.36207	-2.23389
7242.08	1.51558	-2.09824
7242.93	0.291732	-2.08606
7243.86	-3.6616	-2.19442
7244.82	0.00429861	-2.09752
7245.86	-1.46268	-2.05406
7246.82	-0.75054	-2.05143
7247.83	1.22467	-1.93451
7248.82	-0.410723	-1.89505
7249.82	1.51805	-1.85602
7250.83	-5.23914	-1.84149
7251.82	-4.56656	-1.89778
7252.82	-4.47153	-1.91781
7253.82	-5.25828	-1.92469
7254.83	0.898404	-1.91096
7255.82	-0.0282861	-1.81091
7256.82	-4.86442	-1.79335
7257.83	-2.72784	-1.83435
